file_path	decision	rules		
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VHC9.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VHC9\NSS-2016-16VHC9\knnsmekanismin.fishofexcellence.com\boards\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VJ22.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VJ22\NSS-2016-16VJ22\uehiculoquegedentifiseer.theps3downloadsreview.com\boards\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16WLBS.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16WLBS\NSS-2016-16WLBS\yiangesnotenen.rvagives.org\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16WLH6.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16WLH6\NSS-2016-16WLH6\yiangesnotenen.rvagives.org\forums\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16WMLS.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16WMLS\NSS-2016-16WMLS\offcampusbluecup.forexsummit.org\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16X3LJ.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16X3LJ\NSS-2016-16X3LJ\engystomcroleydoorregenden.1stmedicalclaims.com\civis\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16XVQ2.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16XVQ2\NSS-2016-16XVQ2\jitsukuuoopperanimet.borfs.com\forums\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16YG5K.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16YG5K\NSS-2016-16YG5K\hypersimplekorruptoituneeseen.ghgflorida.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16YGFK.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16YGFK\NSS-2016-16YGFK\nopsaan.peaceloveandsheabutter.org\boards\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16YGNM.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16YGNM\NSS-2016-16YGNM\zusammenschnuerendes.peaceloveandsheabutter.org\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16YJ45.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16YJ45\NSS-2016-16YJ45\goodwell.b7u.club\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z2S4.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z2S4\NSS-2016-16Z2S4\voi.wegrowled.com\forums\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z3B4.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z3B4\NSS-2016-16Z3B4\sky.photographybrand.com\forums\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z4S6.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z4S6\NSS-2016-16Z4S6\sevenpoidaniellas.brainpower.xyz\forums\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z4VB.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z4VB\NSS-2016-16Z4VB\news.311main.net\boards\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z62X.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z62X\NSS-2016-16Z62X\standart.ellia.us\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16Z7J1.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16Z7J1\NSS-2016-16Z7J1\admin.k-mando.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
